token,umap_2_component_1,umap_2_component_2,word_count
idea,-1.9274956,11.860712,648
between,-0.7379064,11.288438,648
pence,-0.32033888,12.273766,647
presidency,-1.2048663,10.9921055,647
investigate,-0.48612183,11.4910555,646
chairman,-0.6305112,13.072788,644
sending,-0.9478335,10.763614,643
economy,-0.59415966,11.636393,643
debate,-1.2753843,12.242721,642
rally,-0.33332333,12.753469,642
paul,-0.333607,12.047207,640
went,-0.9960427,11.081658,639
literally,-1.8306569,11.771243,638
perfect,-1.7788041,12.608387,637
set,-0.88277864,9.676414,637
decision,-1.3926457,10.888978,635
bribery,-0.6076588,11.185032,635
mitt,-0.6927549,13.176816,634
floor,-0.84148455,12.440021,632
learned,-1.5770768,11.074478,632
jim_jordan,-1.9170297,13.375343,631
murkowski,-0.608944,13.230893,631
spent,-0.73413366,11.584049,629
fight,-1.3035132,12.228317,628
fired,-0.25145975,12.025099,627
resign,-1.7730525,12.058242,626
thebradfordfile,-1.9208223,13.585917,625
union,-1.146238,12.180081,625
old,-1.3916892,12.01364,624
order,-1.0551915,10.889802,622
open,-1.6680043,10.66,622
least,-1.5189301,10.466432,621
personal,-0.9969671,10.968973,620
release,-0.5850866,11.659825,620
due,-2.056256,11.956729,618
iowa,-0.8088537,12.555953,618
word,-2.1906328,11.488405,617
latest,-0.8495491,12.510949,617
little,-1.997083,11.705674,616
biggest,-0.8124607,11.725929,615
jury,-1.632568,11.556435,613
trials,-1.4988914,11.072075,613
around,-1.1184647,12.285584,613
im,-2.6575217,11.605378,612
china,-0.49627855,11.51783,606
tells,-1.0836021,12.394036,604
urgent,-1.4937611,12.091769,603
total,-1.4117357,13.134259,603
answer,-1.7677376,10.883863,603
afraid,-2.3713672,11.461749,601
st,-1.4239565,12.319472,600
admits,-0.97832674,12.56768,598
doj,-0.29261702,12.054831,598
likely,-1.4302728,12.2739105,598
ready,-1.6919918,10.43497,598
defend,-1.3494586,11.040631,597
shouldn,-1.5274574,10.245993,597
palmerreport,-3.2740026,12.870952,596
four,-0.6725099,11.902567,593
judicialwatch,-1.0183886,12.313941,592
asking,-1.0346297,12.048376,591
impeac,-2.322985,11.993768,591
repleezeldin,-1.876171,13.43178,591
happen,-1.6291534,10.812855,590
politics,-2.1267383,11.25263,588
marshablackburn,-1.8851066,13.067243,587
favor,-1.050357,13.305537,587
alandersh,-0.94906837,12.362144,587
dangerous,-1.3681396,10.947193,585
break,-1.9088012,10.660345,585
lesson,-1.4732624,11.204307,585
kind,-2.067162,10.983248,582
pens,-1.2192914,12.002205,581
strike,-0.42771932,11.539219,581
daily,-1.8645158,12.013903,581
representatives,-0.78641915,12.112864,577
senatorcollins,-2.0053465,12.631364,577
justinamash,-3.5630915,13.017441,576
almost,-1.2067333,11.075288,575
shit,-1.9679607,11.963004,575
sotu,-0.82469594,10.956355,573
mollyjongfast,-3.6007595,12.956835,572
waltshaub,-3.5140789,13.129951,571
stevescalise,-1.9431584,13.522992,570
based,-2.021213,11.159873,568
claims,-0.9871904,12.3768425,565
lose,-1.1804584,10.897505,565
hillary,-0.4496148,11.766673,564
mkraju,-2.9402432,13.372249,563
control,-1.2999147,10.7073555,562
bipartisan,-1.827923,12.205264,562
folks,-2.2040737,11.834022,562
instead,-1.0236676,11.481005,559
possible,-1.1026592,12.114453,558
pretty,-1.9912152,11.655791,558
col,-0.26300913,12.07553,555
giving,-1.851613,11.402684,554
supreme,-0.77877253,11.768963,553
wordswithsteph,-3.2895474,13.216666,552
thehill,-3.0671597,13.320073,551
repdougcollins,-1.7359974,13.133807,550
pressure,-0.60070455,11.54708,550
place,-1.1334884,11.771638,549
attention,-1.4128714,10.670593,549
passed,-1.5036898,11.3841715,548
crewcrew,-3.510951,13.168561,547
numbers,-1.1747338,13.309631,546
jeff,-0.6013946,13.221144,545
following,-0.65190285,12.234117,542
king,-1.8720098,12.1095495,542
accused,-0.5948638,12.42577,540
seems,-1.905865,11.8349495,539
few,-0.2979526,11.805467,536
actions,-1.4572296,10.882143,535
listen,-2.2069545,11.079524,535
feel,-2.027829,11.639559,534
questions,-1.1072806,12.009416,534
mind,-1.61766,11.020853,533
tuesday,-0.4148865,12.654504,533
proceedings,-1.1399477,12.132489,532
check,-0.9673154,10.192081,530
distract,-1.166553,10.709753,529
sitting,-0.68654674,11.388062,528
citizen,-0.54056525,12.602376,528
hate,-1.9512535,11.397913,527
head,-0.80518407,12.091185,525
raise,-1.2244495,11.952229,524
nobody,-1.9963319,11.754499,524
impeaching,-1.6985893,11.287176,523
mitchellvii,-1.9988242,13.539914,523
stone,-0.04284871,12.317191,522
able,-1.6222006,10.318372,521
according,-0.894164,12.926622,520
hell,-2.2166243,11.625568,520
drew,-0.62274665,13.234723,519
completely,-2.262537,12.121007,519
barack,-0.12641403,11.806617,516
november,-1.7799394,12.203473,516
attempt,-0.9365813,11.51975,515
pay,-1.143891,10.6614485,515
quid,-1.6610757,12.677553,514
action,-0.8041094,11.313034,514
emails,-0.47096583,11.618523,514
forget,-2.0273695,11.374874,514
joebiden,-0.9977487,11.926835,511
deep,-0.49609876,12.0959635,511
sentedcruz,-1.794327,13.3728695,509
either,-2.1691859,11.038131,508
sad,-1.9949374,12.1398115,505
mike,-0.30548617,12.657034,504
york,-0.62157696,12.994625,504
follow,-1.5416927,11.89451,503
illegal,-0.49059346,11.669903,503
